Date,Value,Anomaly
199103,39.3,-2.4
199104,47,-0.8
199105,52.1,-3.3
199106,57.4,-4.2
199107,67.6,-1.9
199108,70.1,1.2
199109,61.5,0.7
199110,47.5,-1.2
199111,37.8,-0.7
199112,36,4.7
199201,35.4,3.2
199202,41.1,6.1
199203,46.3,4.6
199204,50.3,2.5
199205,58,2.6
199206,66.2,4.6
199207,67.4,-2.1
199208,68.5,-0.4
199209,58.6,-2.2
199210,50.9,2.2
199211,36.5,-2
199212,28.6,-2.7
199301,23.5,-8.7
199302,28.6,-6.4
199303,40.9,-0.8
199304,47.5,-0.3
199305,60.3,4.9
199306,61,-0.6
199307,62.2,-7.3
199308,64.8,-4.1
199309,59.6,-1.2
199310,51.5,2.8
199311,31.7,-6.8
199312,33.9,2.6
199401,38.6,6.4
199402,32.7,-2.3
199403,43.7,2
199404,51,3.2
199405,57.1,1.7
199406,61.3,-0.3
199407,71.4,1.9
199408,69.2,0.3
199409,63.4,2.6
199410,47.9,-0.8
199411,34.8,-3.7
199412,32.7,1.4
199501,33.8,1.6
199502,39.4,4.4
199503,41.8,0.1
199504,46.6,-1.2
199505,56.1,0.7
199506,60.1,-1.5
199507,68,-1.5
199508,63.8,-5.1
199509,62.2,1.4
199510,45.8,-2.9
199511,41.9,3.4
199512,32.2,0.9
199601,30.4,-1.8
199602,31.3,-3.7
199603,40,-1.7
199604,48.5,0.7
199605,50.7,-4.7
199606,60.4,-1.2
199607,70.2,0.7
199608,68.4,-0.5
199609,56.9,-3.9
199610,48.1,-0.6
199611,36.9,-1.6
199612,30,-1.3
199701,30.8,-1.4
199702,35.6,0.6
199703,42.2,0.5
199704,45.2,-2.6
199705,57.5,2.1
